"adm1","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","iso","umd_tree_cover_loss__year"
1,24928830.264455136,176807.15511181095,45702855.484834395,"USA",2001
2,5259694.255371986,91296.2462565205,9642772.801515313,"USA",2001
3,210097.25989117875,1411.1861607073774,385178.30980049423,"USA",2001
4,17148870.078743406,115545.46317297351,31439595.14436291,"USA",2001
5,20603281.625043347,52197.769851058154,37772682.979246125,"USA",2001
6,2326964.7555671753,13957.591496281346,4266102.051873153,"USA",2001
7,105690.28539784077,818.4672076957189,193765.52322937475,"USA",2001
8,170962.8094350572,1204.6021815592658,313431.81729760475,"USA",2001
9,77.75337717377379,1.0833366010156404,142.54785815191858,"USA",2001
10,12203448.19556996,105685.96606316825,22372988.358544923,"USA",2001
11,23160846.262019265,164231.66466724087,42461551.48036866,"USA",2001
12,102161.42865610032,626.5391664797268,187295.9525361839,"USA",2001
13,15804303.50269381,82913.66607069323,28974556.421605326,"USA",2001
14,120735.68384574036,959.6953194673016,221348.7537171906,"USA",2001
15,59740.59255891793,533.5385303357941,109524.41969134953,"USA",2001
16,21313.5893379043,209.73551885026495,39074.91378615788,"USA",2001
17,58308.256272865285,774.4701415222718,106898.46983358638,"USA",2001
18,1801574.3070664487,12594.677932431006,3302886.2296218234,"USA",2001
19,16007589.516794717,102374.8665910105,29347247.44745698,"USA",2001
20,5234679.672383738,44453.884429245685,9596912.732703514,"USA",2001
21,617100.4632936917,4364.719765873067,1131350.8493717683,"USA",2001
22,291663.2795386766,2112.0249351714647,534716.0124875738,"USA",2001
23,1944063.463678216,21328.687706468147,3564116.3500767294,"USA",2001
24,2400135.7413980304,30038.760801665005,4400248.859229723,"USA",2001
25,18888498.748158462,132546.37177990412,34628914.37162383,"USA",2001
26,1824227.0635684514,15980.810789326239,3344416.2832088275,"USA",2001
27,20406101.73855554,116797.1629239567,37411186.52068516,"USA",2001
28,21535.168490482087,220.18727562236973,39481.14223255049,"USA",2001
