Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
200001,0.34
200002,0.55
200003,0.55
200004,0.63
200005,0.43
200006,0.39
200007,0.39
200008,0.46
200009,0.42
200010,0.31
200011,0.26
200012,0.32
200101,0.47
200102,0.41
200103,0.64
200104,0.58
200105,0.61
200106,0.55
200107,0.60
200108,0.61
200109,0.54
200110,0.51
200111,0.71
200112,0.57
200201,0.71
200202,0.78
200203,0.82
200204,0.58
200205,0.59
200206,0.60
200207,0.63
200208,0.56
200209,0.58
200210,0.49
200211,0.59
200212,0.49
200301,0.71
200302,0.59
200303,0.61
200304,0.58
200305,0.62
200306,0.55
200307,0.60
200308,0.66
200309,0.65
200310,0.74
200311,0.57
200312,0.76
200401,0.61
200402,0.73
200403,0.70
200404,0.60
200405,0.44
200406,0.48
200407,0.47
200408,0.52
200409,0.55
200410,0.60
200411,0.75
200412,0.50
200501,0.65
200502,0.55
200503,0.74
200504,0.71
200505,0.65
200506,0.66
200507,0.66
200508,0.63
200509,0.68
200510,0.68
200511,0.72
200512,0.63
200601,0.50
200602,0.70
200603,0.63
200604,0.52
200605,0.55
200606,0.66
200607,0.62
200608,0.65
200609,0.64
200610,0.67
200611,0.64
200612,0.79
200701,0.91
200702,0.68
200703,0.66
200704,0.72
200705,0.60
200706,0.55
200707,0.56
200708,0.56
200709,0.58
200710,0.55
200711,0.52
200712,0.47
200801,0.27
200802,0.36
200803,0.74
200804,0.49
200805,0.51
200806,0.53
200807,0.59
200808,0.56
200809,0.55
200810,0.67
200811,0.66
200812,0.54
200901,0.60
200902,0.55
200903,0.57
200904,0.62
200905,0.58
200906,0.67
200907,0.66
200908,0.72
200909,0.72
200910,0.64
200911,0.70
200912,0.65
201001,0.73
201002,0.79
201003,0.87
201004,0.85
201005,0.77
201006,0.74
201007,0.73
201008,0.69
201009,0.62
201010,0.62
201011,0.74
201012,0.46
201101,0.46
201102,0.45
201103,0.60
201104,0.62
201105,0.55
201106,0.64
201107,0.65
201108,0.65
201109,0.59
201110,0.61
201111,0.49
201112,0.55
201201,0.44
201202,0.45
201203,0.51
201204,0.73
201205,0.74
201206,0.72
201207,0.69
201208,0.70
201209,0.74
201210,0.70
201211,0.70
201212,0.47
201301,0.62
201302,0.66
201303,0.66
201304,0.58
201305,0.68
201306,0.69
201307,0.65
201308,0.68
201309,0.68
201310,0.66
201311,0.81
201312,0.67
201401,0.69
201402,0.48
201403,0.76
201404,0.80
201405,0.80
201406,0.77
201407,0.71
201408,0.82
201409,0.79
201410,0.75
201411,0.64
201412,0.81
201501,0.83
201502,0.87
201503,0.92
201504,0.80
201505,0.89
201506,0.91
201507,0.84
201508,0.91
201509,0.94
201510,1.03
201511,1.00
201512,1.15
201601,1.12
201602,1.26
201603,1.30
201604,1.12
201605,0.94
201606,0.92
201607,0.91
201608,0.97
201609,0.94
201610,0.79
201611,0.78
201612,0.82
201701,0.97
201702,1.02
201703,1.08
201704,0.92
201705,0.87
201706,0.84
201707,0.90
201708,0.92
201709,0.86
201710,0.81
201711,0.80
201712,0.87
201801,0.75
201802,0.76
201803,0.89
201804,0.84
201805,0.81
201806,0.78
201807,0.82
201808,0.79
201809,0.82
201810,0.92
201811,0.78
201812,0.88
201901,0.93
201902,0.85
201903,1.09
201904,0.96
201905,0.86
201906,0.95
201907,0.92
201908,0.92
201909,0.94
201910,0.94
201911,0.91
201912,1.04
202001,1.13
202002,1.16
202003,1.17
202004,1.04
202005,0.94
202006,0.92
202007,0.91
202008,0.93
202009,0.94
202010,0.82
202011,0.95
202012,0.77
202101,0.77
202102,0.63
202103,0.84
202104,0.79
202105,0.81
202106,0.88
202107,0.92
202108,0.89
202109,0.88
202110,0.88
202111,0.90
202112,0.83
